name,description,price,photo_url,type
"MALM High bed frame/4 storage boxes, Queen","High bed frame/4 storage boxes,",429,https://www.ikea.com/us/en/images/products/malm-high-bed-frame-4-storage-boxes-white-luroey__1154393_pe886042_s5.jpg?f=xxs, Bed
"NORDLI Bed with headboard and storage, Queen","Bed with headboard and storage,",649,https://www.ikea.com/us/en/images/products/nordli-bed-with-headboard-and-storage-anthracite__1151020_pe884726_s5.jpg?f=xxs, Bed
"GLADSTAD Upholstered bed, 2 storage boxes , Queen","Upholstered bed, 2 storage boxes ,",299,https://www.ikea.com/us/en/images/products/gladstad-upholstered-bed-2-storage-boxes-kabusa-light-gray__1116349_pe872495_s5.jpg?f=xxs, Bed
"MALM Storage bed, Queen","Storage bed,",549,https://www.ikea.com/us/en/images/products/malm-storage-bed-white__0749127_pe745496_s5.jpg?f=xxs, Bed
"SONGESAND Bed frame with 4 storage boxes, Queen","Bed frame with 4 storage boxes,",499,https://www.ikea.com/us/en/images/products/songesand-bed-frame-with-4-storage-boxes-brown-luroey__1151018_pe884725_s5.jpg?f=xxs, Bed
"IDANaS Upholstered storage bed, Queen","Upholstered storage bed,",799,https://www.ikea.com/us/en/images/products/idanaes-upholstered-storage-bed-gunnared-dark-gray__1151051_pe884753_s5.jpg?f=xxs, Bed
"SONGESAND Bed frame with 2 storage boxes, Full/Double","Bed frame with 2 storage boxes,",369,https://www.ikea.com/us/en/images/products/songesand-bed-frame-with-2-storage-boxes-white-luroey__1151019_pe884760_s5.jpg?f=xxs, Bed
"NORDLI Bed frame with storage, Queen","Bed frame with storage,",499,https://www.ikea.com/us/en/images/products/nordli-bed-frame-with-storage-white__1151058_pe884758_s5.jpg?f=xxs, Bed
"HEMNES Bed frame with 4 storage boxes, King","Bed frame with 4 storage boxes,",649,https://www.ikea.com/us/en/images/products/hemnes-bed-frame-with-4-storage-boxes-black-brown-luroey__0948874_pe799343_s5.jpg?f=xxs, Bed
"SLaKT Bed frame w/storage+slatted bedbase, Twin","Bed frame w/storage+slatted bedbase,",429,https://www.ikea.com/us/en/images/products/slaekt-bed-frame-w-storage-slatted-bedbase-white__0648346_pe704865_s5.jpg?f=xxs, Bed
"IDANaS Bed frame with storage, Queen","Bed frame with storage,",729,https://www.ikea.com/us/en/images/products/idanaes-bed-frame-with-storage-dark-brown-luroey__1151052_pe884754_s5.jpg?f=xxs, Bed
"HAUGA Upholstered bed, 4 storage boxes , Queen","Upholstered bed, 4 storage boxes ,",599,https://www.ikea.com/us/en/images/products/hauga-upholstered-bed-4-storage-boxes-lofallet-beige__1177943_pe895554_s5.jpg?f=xxs, Bed
"BRIMNES Daybed frame with 2 drawers, Twin","Daybed frame with 2 drawers,",249,https://www.ikea.com/us/en/images/products/brimnes-daybed-frame-with-2-drawers-white__1161827_pe889528_s5.jpg?f=xxs, Bed
"MALM High bed frame/2 storage boxes, Twin","High bed frame/2 storage boxes,",249,https://www.ikea.com/us/en/images/products/malm-high-bed-frame-2-storage-boxes-white__1154404_pe886051_s5.jpg?f=xxs, Bed
"GLADSTAD Upholstered bed, 4 storage boxes , Queen","Upholstered bed, 4 storage boxes ,",399,https://www.ikea.com/us/en/images/products/gladstad-upholstered-bed-4-storage-boxes-kabusa-light-gray__1116349_pe872495_s5.jpg?f=xxs, Bed
"HEMNES Daybed frame with 3 drawers, Twin","Daybed frame with 3 drawers,",399,https://www.ikea.com/us/en/images/products/hemnes-daybed-frame-with-3-drawers-white__1180454_pe896328_s5.jpg?f=xxs, Bed
"HEMNES Bed frame with 2 storage boxes, Full","Bed frame with 2 storage boxes,",429,https://www.ikea.com/us/en/images/products/hemnes-bed-frame-with-2-storage-boxes-white-stain-luroey__1154514_pe886090_s5.jpg?f=xxs, Bed
"NORDLI Bed frame with storage, Queen","Bed frame with storage,",499,https://www.ikea.com/us/en/images/products/nordli-bed-frame-with-storage-anthracite__1151029_pe884733_s5.jpg?f=xxs, Bed
"HEMNES Bed frame with 4 storage boxes, Queen","Bed frame with 4 storage boxes,",619,https://www.ikea.com/us/en/images/products/hemnes-bed-frame-with-4-storage-boxes-white-stain-loenset__1154513_pe886108_s5.jpg?f=xxs, Bed
"SLaKT Bed frame w/pull-out bed + storage, Twin","Bed frame w/pull-out bed + storage,",349,https://www.ikea.com/us/en/images/products/slaekt-bed-frame-w-pull-out-bed-storage-white__0637775_pe698535_s5.jpg?f=xxs, Bed
"HAUGA Upholstered bed, 2 storage boxes , Queen","Upholstered bed, 2 storage boxes ,",499,https://www.ikea.com/us/en/images/products/hauga-upholstered-bed-2-storage-boxes-lofallet-beige__1151055_pe884717_s5.jpg?f=xxs, Bed
"NaMMARa 4-seat conversation set, outdoor","4-seat conversation set, outdoor",700,https://www.ikea.com/us/en/images/products/naemmaroe-4-seat-conversation-set-outdoor-light-brown-stained-froesoen-duvholmen-beige__1174533_pe894523_s5.jpg?f=xxs, outdoor
"SKARPa Armchair, outdoor","Armchair, outdoor",79,https://www.ikea.com/us/en/images/products/skarpoe-armchair-outdoor-white__0729491_pe737010_s5.jpg?f=xxs, outdoor
"NaMMARa Modular corner sofa, 3-seat","Modular corner sofa, 3-seat",720,https://www.ikea.com/us/en/images/products/naemmaroe-modular-corner-sofa-3-seat-outdoor-light-brown-stained-froesoen-duvholmen-beige__1213447_pe911141_s5.jpg?f=xxs, outdoor
"NaMMARa 3-seat modular sofa, outdoor","3-seat modular sofa, outdoor",515,https://www.ikea.com/us/en/images/products/naemmaroe-3-seat-modular-sofa-outdoor-armrests-light-brown-stained-froesoen-duvholmen-beige__1213451_pe911143_s5.jpg?f=xxs, outdoor
"BONDHOLMEN Armchair, outdoor","Armchair, outdoor",240,https://www.ikea.com/us/en/images/products/bondholmen-armchair-outdoor-brown-froesoen-duvholmen-dark-gray__1247771_pe922785_s5.jpg?f=xxs, outdoor
REVSKaR 3-seat conversation set,3-seat conversation set,655,https://www.ikea.com/us/en/images/products/revskaer-3-seat-conversation-set-outdoor-anthracite-froesoen-duvholmen-dark-gray__1240171_pe919187_s5.jpg?f=xxs, outdoor
"NaMMARa Lounge chair, outdoor","Lounge chair, outdoor",95,https://www.ikea.com/us/en/images/products/naemmaroe-lounge-chair-outdoor-light-brown-stained__1138755_pe880055_s5.jpg?f=xxs, outdoor
"BONDHOLMEN Loveseat, outdoor","Loveseat, outdoor",420,https://www.ikea.com/us/en/images/products/bondholmen-loveseat-outdoor-brown-froesoen-duvholmen-dark-gray__1247781_pe922788_s5.jpg?f=xxs, outdoor
"NaMMARa Chair, outdoor","Chair, outdoor",155,https://www.ikea.com/us/en/images/products/naemmaroe-chair-outdoor-light-brown-stained-froesoen-duvholmen-beige__1207768_pe908166_s5.jpg?f=xxs, outdoor
"JOLPEN Loveseat, outdoor, 39 3/8x23 1/4x26 3/8 ""","Loveseat, outdoor,",89,https://www.ikea.com/us/en/images/products/jolpen-loveseat-outdoor-white-gray__1138956_pe880161_s5.jpg?f=xxs, outdoor
"NaMMARa Reclining chair, outdoor","Reclining chair, outdoor",70,https://www.ikea.com/us/en/images/products/naemmaroe-reclining-chair-outdoor-foldable-light-brown-stained__1138757_pe880057_s5.jpg?f=xxs, outdoor
"NaMMARa 3-seat modular sofa, outdoor","3-seat modular sofa, outdoor",560,https://www.ikea.com/us/en/images/products/naemmaroe-3-seat-modular-sofa-outdoor-with-footstool-light-brown-stained-kuddarna-beige__1202317_pe905878_s5.jpg?f=xxs, outdoor
